18.04.2014; Жим ногами + дотяг;;;;;;;;;;;;;;;;;;;;;;;;;
;;Становая тяга;90;120;145;145;145;145;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;4;4;4;4;;;;;;;;;;;;3250;25;61%;130;212.5; 15.29   ;
07.05.2014; Тяж жим пирамида 122;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;60;80;90;90;100;100;112;112;117;117;122;110;110;100;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;3;3;3;3;3;3;2;1;1;2;2;5;;;;3845;40;70%;96.125;137.5; 27.96   ;
;;Горизонтальная тяга узким хватом в блочном тренажере;64;64;64;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;12;12;12;;;;;;;;;;;;;;;2304;36;59%;64;109.33; 21.07   ;
;;Разгибание рук с гантелью из-за головы сидя;25;25;25;25;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;15;15;;;;;;;;;;;;;;1500;60;45%;25;55.58; 26.99   ;
12.05.2014; Присед 160 тяга 180;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;160;160;160;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;4;;;;;;;;;;;;;;;1920;12;76%;160;210; 9.14   ;
;;Становая тяга из ямы;150;150;150;150;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;3;3;3;3;;;;;;;;;;;;;;1800;12;75%;150;200; 9.00   ;
;;Становая тяга;180;180;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;2;2;;;;;;;;;;;;;;;;720;4;85%;180;212.5; 3.39   ;
15.05.2014; Легкий жим 100 4/3;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;70;80;90;90;100;100;100;100;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;3;3;3;3;3;3;;;;;;;;;;2410;27;65%;89.25925926;137.5; 17.53   ;
;;Вертикальная тяга верхнего блока к груди широким хватом;68;72;77;82;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;8;8;8;8;;;;;;;;;;;;;;2392;32;62%;74.75;121.33; 19.71   ;
;;Горизонтальная тяга узким хватом в блочном тренажере;68;73;77;82;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;8;8;8;8;;;;;;;;;;;;;;2400;32;69%;75;109.33; 21.95   ;
;;Французский жим в блочном тренажере;55;55;55;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;15;;;;;;;;;;;;;;;2475;45;61%;55;90; 27.50   ;
16.05.2014; Легкий присед, тяга плинты 200;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;130;130;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;6;6;;;;;;;;;;;;;;;;1560;12;62%;130;210; 7.43   ;
;;Становая тяга с плинтов;180;200;200;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;2;2;2;;;;;;;;;;;;;;;1160;6;88%;193.3333333;220; 5.27   ;
;;Становая тяга;180;;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;1;;;;;;;;;;;;;;;;;180;1;85%;180;212.5; 0.85   ;
;;Подъем штанги на бицепс стоя;30;30;30;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;21;21;21;;;;;;;;;;;;;;;1890;63;45%;30;66.67; 28.35   ;
;;Гиперэкстензия;20;20;20;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;12;12;12;;;;;;;;;;;;;;;720;36;35%;20;57.6; 12.50   ;
19.05.2014; Легкий жим 110 3х3;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;70;90;110;110;110;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;3;3;3;;;;;;;;;;;;;1700;18;69%;94.44444444;137.5; 12.36   ;
;;Бабочка;55;55;55;55;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;15;15;;;;;;;;;;;;;;3300;60;40%;55;139.09; 23.73   ;
21.05.2014; Присед 190 3х2 и все;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;190;190;190;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;2;2;2;;;;;;;;;;;;;;;1140;6;90%;190;210; 5.43   ;
23.05.2014; Жим легкий 100 3х3 и все;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;100;100;100;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;3;3;3;;;;;;;;;;;;;;;900;9;73%;100;137.5; 6.55   ;
26.05.2014; Присед 160 3х2 и легк стан;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;100;120;140;160;160;160;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;3;2;2;2;;;;;;;;;;;;2360;18;62%;131.1111111;210; 11.24   ;
;;Гиперэкстензия;0;0;0;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;15;;;;;;;;;;;;;;;0;45;0%;0;57.6; -     ;
;;Становая тяга;130;130;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;;;;;;;;;;;;;;;;1300;10;61%;130;212.5; 6.12   ;
28.05.2014; Жим 100 5х2 и все;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;100;100;100;100;100;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;2;2;2;2;2;;;;;;;;;;;;;1000;10;73%;100;137.5; 7.27   ;
30.05.2014; Легкая тяга 140 5х2 и все;;;;;;;;;;;;;;;;;;;;;;;;;
;;Становая тяга;120;140;140;140;140;140;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;2;2;2;2;2;;;;;;;;;;;;2000;15;63%;133.3333333;212.5; 9.41   ;
02.06.2014; Проходка жим;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;50;50;70;70;90;107;120;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;3;3;2;1;1;;;;;;;;;;;1327;20;48%;66.35;137.5; 9.65   ;
04.06.2014; Прходка присед;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;60;60;100;100;140;140;170;191;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;3;3;2;2;1;1;;;;;;;;;;2121;22;46%;96.40909091;210; 10.10   ;
09.06.2014; Проходка тяга;;;;;;;;;;;;;;;;;;;;;;;;;
;;Становая тяга;60;60;100;100;140;140;170;190;200;207.5;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;3;3;2;2;1;1;1;1;;;;;;;;2527.5;24;50%;105.3125;212.5; 11.89   ;
20.06.2014; Легкий жим 100 5х3 после перерыва;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;70;70;70;85;85;85;100;100;100;100;100;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;5;5;5;5;3;3;3;3;3;;;;;;;3825;45;62%;85;137.5; 27.82   ;
;;Жим штанги с груди сидя в смите;50;50;50;50;50;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;5;5;5;5;;;;;;;;;;;;;1250;25;66%;50;75.48; 16.56   ;
;;Разведение гантелей в стороны стоя;11.3;11.3;11.3;11.3;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;15;15;;;;;;;;;;;;;;678;60;48%;11.3;23.69; 28.62   ;
;;Жим книзу в блочном тренажере двумя руками;38.5;38.5;38.5;38.5;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;15;15;15;15;;;;;;;;;;;;;;2310;60;35%;38.5;109.33; 21.13   ;
;;;Кроссовер слева;Кроссовер слева;Кроссовер слева;Кроссовер слева;;;;;;;;;;;;;;;;;;;;
23.06.2014; Присед 160 3х2 тяга 140 2х4;;;;;;;;;;;;;;;;;;;;;;;;;
;;Приседания со штангой на плечах;100;120;140;140;160;160;160;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;6;4;3;3;2;2;2;;;;;;;;;;;2880;22;62%;130.9090909;210; 13.71   ;
;;Становая тяга;140;140;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;4;4;;;;;;;;;;;;;;;;1120;8;66%;140;212.5; 5.27   ;
;;Сгибание ног лежа на тренажере;57;57;;;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;20;20;;;;;;;;;;;;;;;;2280;40;54%;57;104.73; 21.77   ;
25.06.2014; Жим 102 4х2 + П-гриф;;;;;;;;;;;;;;;;;;;;;;;;;
;;Жим штанги лежа на горизонтальной скамье;70;85;85;95;95;102;102;102;102;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
;;;5;4;4;3;3;2;2;2;2;;;;;;;;;2416;27;65%;89.48148148;137.5; 17.57   ;
;;Жим П-грифа;80;90;90;90;;;;;;;;;;;;;;V;КПШ;Ио;ср вес; 1ПМ;  КО ;
